hora_utc,par,apto_filtro,ciclo_n,motor_ligado,agent_fonte,preco_mid,spread_livro_bps,evento,fim_ciclo_motivo,sim_precificacao,sim_volta_ok,sim_resultado_quote,sim_obs,carteira_patrimonio
2026-03-29 17:32:50,BTCUSDT,sim,2,sim,agent_gemini,66249.61,0.002,cycle_start,—,synthetic_mid,sim,3.006615,ok,10024.8346
2026-03-29 17:32:28,BTCUSDT,sim,1,não,—,66249.61,0.002,cycle_end,take_profit_quote,—,—,,—,10021.828
2026-03-29 17:32:12,BTCUSDT,sim,1,sim,agent_gemini,66249.61,0.002,—,—,synthetic_mid,sim,1.803969,ok,10021.828
2026-03-29 17:31:57,BTCUSDT,sim,1,sim,agent_gemini,66249.61,0.002,—,—,synthetic_mid,sim,1.803969,ok,10020.0241
2026-03-29 17:31:41,BTCUSDT,sim,1,sim,agent_gemini,66238.74,0.002,—,—,synthetic_mid,sim,1.803969,ok,10018.2201
2026-03-29 17:31:25,BTCUSDT,sim,1,sim,agent_gemini,66258.86,0.002,—,—,synthetic_mid,sim,1.803969,ok,10016.4161
2026-03-29 17:31:10,BTCUSDT,sim,1,sim,agent_gemini,66271.11,0.002,—,—,synthetic_mid,sim,1.803969,ok,10014.6121
2026-03-29 17:31:04,BTCUSDT,sim,1,sim,agent_gemini,66277.74,0.002,cycle_start,—,synthetic_mid,sim,1.803969,ok,10012.8082
2026-03-29 17:30:38,BTCUSDT,sim,1,sim,agent_gemini,66265.82,0.002,—,—,synthetic_mid,sim,3.607937,ok,10011.0042
2026-03-29 17:30:35,BTCUSDT,sim,1,sim,agent_gemini,66265.82,0.002,—,—,synthetic_mid,sim,3.607937,ok,10007.3963
2026-03-29 17:30:29,BTCUSDT,sim,1,sim,agent_gemini,66240.04,0.002,cycle_start,—,synthetic_mid,sim,3.607937,ok,10003.7883
2026-03-29 17:30:17,BTCUSDT,sim,1,sim,agent_gemini,66240.04,0.002,—,—,book_top,não,,book_top_spread_smaller_than_fees,10000.1804
2026-03-29 17:30:14,BTCUSDT,sim,1,sim,agent_gemini,66240.04,0.002,—,—,book_top,não,,book_top_spread_smaller_than_fees,10000.1804
2026-03-29 17:30:06,BTCUSDT,sim,1,sim,agent_gemini,66238.61,0.002,—,—,book_top,não,,book_top_spread_smaller_than_fees,10000.1804
2026-03-29 17:30:02,BTCUSDT,sim,1,sim,agent_gemini,66249.76,0.002,—,—,book_top,não,,book_top_spread_smaller_than_fees,10000.1804
2026-03-29 17:29:58,BTCUSDT,sim,1,sim,agent_gemini,66262.4,0.002,—,—,book_top,não,,book_top_spread_smaller_than_fees,10000.1804
2026-03-29 17:29:56,BTCUSDT,sim,1,sim,agent_gemini,66247.68,0.002,cycle_start,—,book_top,não,,book_top_spread_smaller_than_fees,10000.1804
2026-03-29 17:29:33,BTCUSDT,sim,1,sim,agent_heuristic,66238.61,0.002,cycle_start,—,synthetic_mid,sim,0.060132,ok,10000.1804
2026-03-29 17:29:26,BTCUSDT,não,0,não,—,66238.61,0.002,—,—,—,—,,—,10000.1203
2026-03-29 17:29:25,BTCUSDT,não,0,não,—,66238.61,0.002,—,—,—,—,,—,10000.1203
2026-03-29 17:29:22,BTCUSDT,não,0,não,—,66238.61,0.002,—,—,—,—,,—,10000.1203
2026-03-29 17:29:20,BTCUSDT,não,0,não,—,66238.61,0.002,—,—,—,—,,—,10000.1203
2026-03-29 17:29:13,BTCUSDT,sim,1,sim,agent_heuristic,66250.35,0.002,—,—,synthetic_mid,sim,0.060132,ok,10000.1203
2026-03-29 17:29:10,BTCUSDT,sim,1,sim,agent_heuristic,66250.35,0.002,cycle_start,—,synthetic_mid,sim,0.060132,ok,10000.0601
2026-03-29 17:29:04,BTCUSDT,sim,1,sim,agent_heuristic,66250.35,0.002,—,—,book_top,não,,book_top_spread_smaller_than_fees,10000
2026-03-29 17:29:02,BTCUSDT,sim,1,sim,agent_heuristic,66250.35,0.002,—,—,book_top,não,,book_top_spread_smaller_than_fees,10000
2026-03-29 17:28:54,BTCUSDT,sim,1,sim,agent_heuristic,66248.65,0.002,—,—,book_top,não,,book_top_spread_smaller_than_fees,10000
2026-03-29 17:28:52,BTCUSDT,sim,1,sim,agent_heuristic,66248.65,0.002,cycle_start,—,book_top,não,,book_top_spread_smaller_than_fees,10000
2026-03-29 17:28:48,BTCUSDT,não,1,não,—,66256.64,0.002,cycle_end,filters_failed,—,—,,—,10000
2026-03-29 17:28:46,BTCUSDT,sim,1,sim,agent_heuristic,66262.01,0.002,cycle_start,—,book_top,não,,book_top_spread_smaller_than_fees,10000
2026-03-29 17:28:36,BTCUSDT,não,0,não,—,66267.29,0.002,—,—,—,—,,—,10000
2026-03-29 17:28:34,BTCUSDT,não,0,não,—,66244.65,0.002,—,—,—,—,,—,10000
