hora_utc,par,apto_filtro,ciclo_n,motor_ligado,preco_mid,spread_livro_bps,evento,fim_ciclo_motivo,sim_precificacao,sim_volta_ok,sim_resultado_quote,sim_obs,carteira_patrimonio
2026-03-29 16:20:23,BTCUSDT,sim,1,sim,66654.89,0.002,cycle_start,—,synthetic_mid,sim,0.060132,ok,10000.0601
2026-03-29 16:20:25,BTCUSDT,não,1,não,66649.38,0.002,cycle_end,filters_failed,—,—,,—,10000.0601
2026-03-29 16:20:27,BTCUSDT,não,1,não,66642.02,0.002,—,—,—,—,,—,10000.0601
2026-03-29 16:20:29,BTCUSDT,não,1,não,66642.02,0.002,—,—,—,—,,—,10000.0601
2026-03-29 16:20:31,BTCUSDT,não,1,não,66637.05,0.002,—,—,—,—,,—,10000.0601
2026-03-29 16:20:33,BTCUSDT,não,1,não,66627.86,0.002,—,—,—,—,,—,10000.0601
2026-03-29 16:20:35,BTCUSDT,sim,1,sim,66625.48,0.002,cycle_start,—,synthetic_mid,sim,0.060132,ok,10000.1203
2026-03-29 16:20:37,BTCUSDT,sim,1,sim,66620.11,0.002,—,—,synthetic_mid,sim,0.060132,ok,10000.1804
2026-03-29 16:20:39,BTCUSDT,sim,1,sim,66618.39,0.002,—,—,synthetic_mid,sim,0.060132,ok,10000.2405
2026-03-29 16:20:41,BTCUSDT,sim,1,sim,66618.39,0.002,—,—,synthetic_mid,sim,0.060132,ok,10000.3007
2026-03-29 16:20:42,BTCUSDT,sim,1,sim,66618.39,0.002,—,—,synthetic_mid,sim,0.060132,ok,10000.3608
2026-03-29 16:20:51,BTCUSDT,não,0,não,66616.96,0.002,—,—,—,—,,—,10000.3608
2026-03-29 16:20:53,BTCUSDT,não,0,não,66622.96,0.002,—,—,—,—,,—,10000.3608
2026-03-29 16:20:55,BTCUSDT,não,0,não,66618.29,0.002,—,—,—,—,,—,10000.3608
2026-03-29 16:20:59,BTCUSDT,não,0,não,66622.96,0.002,—,—,—,—,,—,10000.3608
2026-03-29 16:21:00,BTCUSDT,não,0,não,66625.79,0.002,—,—,—,—,,—,10000.3608
2026-03-29 16:21:02,BTCUSDT,não,0,não,66625.79,0.002,—,—,—,—,,—,10000.3608
2026-03-29 16:21:04,BTCUSDT,não,0,não,66628.46,0.002,—,—,—,—,,—,10000.3608
2026-03-29 16:21:06,BTCUSDT,sim,1,sim,66628.46,0.002,cycle_start,—,synthetic_mid,sim,0.060132,ok,10000.4209
