hora_utc,par,apto_filtro,ciclo_n,motor_ligado,agent_fonte,preco_mid,spread_livro_bps,evento,fim_ciclo_motivo,sim_precificacao,sim_volta_ok,sim_resultado_quote,sim_obs,carteira_patrimonio
2026-03-29 16:40:10,SOLUSDT,não,0,não,—,81.8,1.223,—,—,—,—,,—,10000.0
2026-03-29 16:40:14,SOLUSDT,não,0,não,—,81.8,1.223,—,—,—,—,,—,10000.0
2026-03-29 16:40:16,SOLUSDT,não,0,não,—,81.8,1.223,—,—,—,—,,—,10000.0
2026-03-29 16:40:26,SOLUSDT,não,0,não,—,81.77,1.223,—,—,—,—,,—,10000.0
2026-03-29 16:40:28,SOLUSDT,não,0,não,—,81.77,1.223,—,—,—,—,,—,10000.0
2026-03-29 16:40:30,SOLUSDT,não,0,não,—,81.77,1.223,—,—,—,—,,—,10000.0
2026-03-29 16:40:35,SOLUSDT,sim,1,sim,agent_heuristic_gemini_fallback,81.77,1.223,cycle_start,—,book_top,não,,book_top_spread_smaller_than_fees,10000.0
2026-03-29 16:40:38,SOLUSDT,sim,1,sim,agent_heuristic_gemini_fallback,81.77,1.223,—,—,book_top,não,,book_top_spread_smaller_than_fees,10000.0
2026-03-29 16:40:45,SOLUSDT,sim,1,sim,agent_heuristic,81.75,1.223,cycle_start,—,book_top,não,,book_top_spread_smaller_than_fees,10000.0
2026-03-29 16:40:47,SOLUSDT,sim,1,sim,agent_heuristic,81.75,1.223,—,—,book_top,não,,book_top_spread_smaller_than_fees,10000.0
2026-03-29 16:40:49,SOLUSDT,sim,1,sim,agent_heuristic,81.75,1.223,—,—,book_top,não,,book_top_spread_smaller_than_fees,10000.0
2026-03-29 16:40:51,SOLUSDT,sim,1,sim,agent_heuristic,81.75,1.223,—,—,book_top,não,,book_top_spread_smaller_than_fees,10000.0
2026-03-29 16:40:53,SOLUSDT,sim,1,sim,agent_heuristic,81.75,1.223,—,—,book_top,não,,book_top_spread_smaller_than_fees,10000.0
2026-03-29 16:42:54,SOLUSDT,não,0,não,—,81.72,1.224,—,—,—,—,,—,10000.0
2026-03-29 16:42:56,SOLUSDT,não,0,não,—,81.72,1.224,—,—,—,—,,—,10000.0
2026-03-29 16:42:58,SOLUSDT,não,0,não,—,81.72,1.224,—,—,—,—,,—,10000.0
2026-03-29 16:43:01,SOLUSDT,não,0,não,—,81.72,1.224,—,—,—,—,,—,10000.0
2026-03-29 16:43:03,SOLUSDT,não,0,não,—,81.72,1.224,—,—,—,—,,—,10000.0
2026-03-29 16:43:05,SOLUSDT,não,0,não,—,81.7,1.224,—,—,—,—,,—,10000.0
2026-03-29 16:43:07,SOLUSDT,não,0,não,—,81.7,1.224,—,—,—,—,,—,10000.0
2026-03-29 16:43:10,SOLUSDT,não,0,não,—,81.7,1.224,—,—,—,—,,—,10000.0
2026-03-29 16:43:12,SOLUSDT,não,0,não,—,81.7,1.224,—,—,—,—,,—,10000.0
2026-03-29 16:43:14,SOLUSDT,não,0,não,—,81.7,1.224,—,—,—,—,,—,10000.0
2026-03-29 16:43:16,SOLUSDT,não,0,não,—,81.7,1.224,—,—,—,—,,—,10000.0
2026-03-29 16:43:19,SOLUSDT,não,0,não,—,81.7,1.224,—,—,—,—,,—,10000.0
2026-03-29 16:43:21,SOLUSDT,não,0,não,—,81.7,1.224,—,—,—,—,,—,10000.0
2026-03-29 16:43:24,SOLUSDT,não,0,não,—,81.7,1.224,—,—,—,—,,—,10000.0
2026-03-29 16:43:26,SOLUSDT,não,0,não,—,81.7,1.224,—,—,—,—,,—,10000.0
2026-03-29 16:43:28,SOLUSDT,não,0,não,—,81.7,1.224,—,—,—,—,,—,10000.0
2026-03-29 16:43:31,SOLUSDT,não,0,não,—,81.7,1.224,—,—,—,—,,—,10000.0
2026-03-29 16:43:33,SOLUSDT,não,0,não,—,81.7,1.224,—,—,—,—,,—,10000.0
2026-03-29 16:43:35,SOLUSDT,não,0,não,—,81.7,1.224,—,—,—,—,,—,10000.0
