hora_utc,par,apto_filtro,ciclo_n,motor_ligado,agent_fonte,preco_mid,spread_livro_bps,evento,fim_ciclo_motivo,sim_precificacao,sim_volta_ok,sim_resultado_quote,sim_obs,carteira_patrimonio
2026-03-29 17:04:49,BTCUSDT,não,0,não,—,66482.15,0.002,—,—,—,—,,—,10000.0
2026-03-29 17:04:52,BTCUSDT,não,0,não,—,66482.15,0.002,—,—,—,—,,—,10000.0
2026-03-29 17:04:54,BTCUSDT,sim,1,sim,agent_heuristic,66482.15,0.002,cycle_start,—,book_top,não,,book_top_spread_smaller_than_fees,10000.0
2026-03-29 17:04:56,BTCUSDT,sim,1,sim,agent_heuristic,66482.15,0.002,—,—,book_top,não,,book_top_spread_smaller_than_fees,10000.0
2026-03-29 17:05:03,BTCUSDT,sim,1,sim,agent_heuristic,66489.33,0.002,cycle_start,—,synthetic_mid,sim,0.060132,ok,10000.0601
2026-03-29 17:05:05,BTCUSDT,sim,1,sim,agent_heuristic,66499.3,0.002,—,—,synthetic_mid,sim,0.060132,ok,10000.1203
2026-03-29 17:05:07,BTCUSDT,sim,1,sim,agent_heuristic,66501.92,0.002,—,—,synthetic_mid,sim,0.060132,ok,10000.1804
2026-03-29 17:05:27,BTCUSDT,sim,1,sim,agent_gemini,66505.23,0.002,cycle_start,—,synthetic_mid,sim,7.518797,ok,10007.6992
2026-03-29 17:05:48,BTCUSDT,não,0,não,—,66519.99,0.002,—,—,—,—,,—,10007.6992
2026-03-29 17:05:53,BTCUSDT,não,0,não,—,66519.99,0.002,—,—,—,—,,—,10007.6992
2026-03-29 17:06:13,BTCUSDT,sim,1,sim,agent_gemini,66519.99,0.002,cycle_start,—,synthetic_mid,sim,3.006615,ok,10010.7058
2026-03-29 17:06:57,BTCUSDT,sim,1,sim,agent_gemini,66504.26,0.002,cycle_start,—,synthetic_mid,sim,96.938776,ok,10107.6446
2026-03-29 17:08:04,BTCUSDT,não,0,não,—,66521.23,0.002,—,—,—,—,,—,10107.6446
2026-03-29 17:08:08,BTCUSDT,não,0,não,—,66521.23,0.002,—,—,—,—,,—,10107.6446
2026-03-29 17:08:27,BTCUSDT,sim,1,sim,agent_gemini,66521.23,0.002,cycle_start,—,book_top,não,,book_top_spread_smaller_than_fees,10107.6446
2026-03-29 17:08:35,BTCUSDT,sim,1,sim,agent_gemini,66518.24,0.002,—,—,book_top,não,,book_top_spread_smaller_than_fees,10107.6446
2026-03-29 17:08:39,BTCUSDT,sim,1,sim,agent_gemini,66518.24,0.002,—,—,book_top,não,,book_top_spread_smaller_than_fees,10107.6446
2026-03-29 17:09:13,BTCUSDT,sim,1,sim,agent_heuristic,66516.08,0.002,cycle_start,—,book_top,não,,book_top_spread_smaller_than_fees,10107.6446
2026-03-29 17:09:15,BTCUSDT,sim,1,sim,agent_heuristic,66516.08,0.002,—,—,book_top,não,,book_top_spread_smaller_than_fees,10107.6446
2026-03-29 17:09:17,BTCUSDT,sim,1,sim,agent_heuristic,66516.08,0.002,—,—,book_top,não,,book_top_spread_smaller_than_fees,10107.6446
2026-03-29 17:09:18,BTCUSDT,sim,1,sim,agent_heuristic,66516.08,0.002,—,—,book_top,não,,book_top_spread_smaller_than_fees,10107.6446
2026-03-29 17:09:49,BTCUSDT,sim,1,sim,agent_gemini,66520.58,0.002,cycle_start,—,book_top,não,,book_top_spread_smaller_than_fees,10107.6446
2026-03-29 17:10:16,BTCUSDT,sim,1,sim,agent_gemini,66536.83,0.002,cycle_start,—,synthetic_mid,sim,42.639594,ok,10150.2842
2026-03-29 17:10:37,BTCUSDT,sim,1,sim,agent_gemini,66508.52,0.002,cycle_start,—,synthetic_mid,sim,4.511278,ok,10154.7955
2026-03-29 17:10:47,BTCUSDT,não,0,não,—,66508.52,0.002,—,—,—,—,,—,10154.7955
2026-03-29 17:10:49,BTCUSDT,não,0,não,—,66508.52,0.002,—,—,—,—,,—,10154.7955
2026-03-29 17:10:52,BTCUSDT,não,0,não,—,66508.52,0.002,—,—,—,—,,—,10154.7955
2026-03-29 17:11:09,BTCUSDT,sim,1,sim,agent_gemini,66512.67,0.002,cycle_start,—,synthetic_mid,sim,3.006615,ok,10157.8021
2026-03-29 17:11:36,BTCUSDT,sim,1,sim,agent_gemini,66510.08,0.002,cycle_start,—,book_top,não,,book_top_spread_smaller_than_fees,10157.8021
2026-03-29 17:12:44,BTCUSDT,sim,1,sim,agent_gemini,66491.48,0.002,cycle_start,—,book_top,não,,book_top_spread_smaller_than_fees,10157.8021
2026-03-29 17:12:47,BTCUSDT,sim,1,sim,agent_gemini,66491.48,0.002,—,—,book_top,não,,book_top_spread_smaller_than_fees,10157.8021
2026-03-29 17:13:03,BTCUSDT,sim,1,sim,agent_gemini,66491.48,0.002,—,—,book_top,não,,book_top_spread_smaller_than_fees,10157.8021
2026-03-29 17:13:18,BTCUSDT,sim,1,sim,agent_gemini,66491.48,0.002,—,—,book_top,não,,book_top_spread_smaller_than_fees,10157.8021
2026-03-29 17:14:26,BTCUSDT,sim,1,sim,agent_gemini,66405.04,0.002,—,—,book_top,não,,book_top_spread_smaller_than_fees,10157.8021
2026-03-29 17:14:41,BTCUSDT,sim,1,sim,agent_gemini,66424.58,0.002,—,—,book_top,não,,book_top_spread_smaller_than_fees,10157.8021
2026-03-29 17:14:56,BTCUSDT,sim,1,sim,agent_gemini,66425.27,0.002,—,—,book_top,não,,book_top_spread_smaller_than_fees,10157.8021
2026-03-29 17:15:13,BTCUSDT,sim,1,sim,agent_gemini,66405.23,0.002,—,—,book_top,não,,book_top_spread_smaller_than_fees,10157.8021
