O programa deu esses logs: 2026-03-29 10:39:57,851 | filter | FILTER BTCUSDT | adx=22.77893164814755 apt=True atr_pct=0.10385125464784306 last_price=66561.6 liquidity_quote_sum=237499.99983897601 quote_volume_24h=671640556.296406 range_atr_ratio=8.24983048277411
2026-03-29 10:39:57,855 | filter | FILTER BTCUSDT | adx=23.606976910255305 apt=True atr_pct=0.10127315087995149 last_price=66602.46 liquidity_quote_sum=237500.00057452562 quote_volume_24h=672284568.601733 range_atr_ratio=8.50580451110478
2026-03-29 10:39:57,861 | filter | FILTER BTCUSDT | adx=23.07035153863162 apt=True atr_pct=0.10396012665404118 last_price=66662.6 liquidity_quote_sum=237499.999616232 quote_volume_24h=671021027.5194746 range_atr_ratio=7.2933852227742735
2026-03-29 10:39:57,866 | filter | FILTER BTCUSDT | adx=22.351725891546906 apt=True atr_pct=0.10289045304671332 last_price=66688.32 liquidity_quote_sum=237500.0002864896 quote_volume_24h=673228431.5283165 range_atr_ratio=6.861819198955291
2026-03-29 10:39:57,870 | filter | FILTER BTCUSDT | adx=21.684430647825387 apt=True atr_pct=0.09900884235567133 last_price=66681.41 liquidity_quote_sum=237499.9995119712 quote_volume_24h=671326355.013428 range_atr_ratio=6.830454993672783
2026-03-29 10:39:57,874 | filter | FILTER BTCUSDT | adx=20.63036196008112 apt=True atr_pct=0.09915867279912344 last_price=66647.61 liquidity_quote_sum=237500.00054645038 quote_volume_24h=671467094.726095 range_atr_ratio=6.198355342745917
2026-03-29 10:39:57,879 | filter | FILTER BTCUSDT | adx=19.89895081755649 apt=True atr_pct=0.09726934218213791 last_price=66630.12 liquidity_quote_sum=237500.0004196848 quote_volume_24h=670524899.3027673 range_atr_ratio=6.200829918797829
2026-03-29 10:39:57,884 | filter | FILTER BTCUSDT | adx=19.39521349803067 apt=True atr_pct=0.09247288027136613 last_price=66637.98 liquidity_quote_sum=237499.999756128 quote_volume_24h=658997160.9105633 range_atr_ratio=6.377261705297123
2026-03-29 10:39:57,888 | filter | FILTER BTCUSDT | adx=18.523080995832615 apt=True atr_pct=0.09160202873736001 last_price=66660.0 liquidity_quote_sum=237499.9996248 quote_volume_24h=655090011.1131575 range_atr_ratio=6.435763061378941
2026-03-29 10:39:57,892 | filter | FILTER BTCUSDT | adx=18.10482691827703 apt=True atr_pct=0.09490116066862006 last_price=66717.9 liquidity_quote_sum=237499.999925328 quote_volume_24h=651520841.8516468 range_atr_ratio=6.2066400033906515
2026-03-29 10:39:57,901 | filter | FILTER BTCUSDT | adx=17.716448131975415 apt=True atr_pct=0.09433731084177614 last_price=66671.0 liquidity_quote_sum=237500.00049666 quote_volume_24h=646206726.0493495 range_atr_ratio=6.038893465094115
2026-03-29 10:39:57,904 | filter | FILTER BTCUSDT | adx=17.168384914742983 apt=True atr_pct=0.09247645583010239 last_price=66681.31 liquidity_quote_sum=237499.99941893457 quote_volume_24h=631549220.0246031 range_atr_ratio=6.036210889962875
2026-03-29 10:39:57,909 | filter | FILTER BTCUSDT | adx=17.481630891044297 apt=True atr_pct=0.09450332921393902 last_price=66676.31 liquidity_quote_sum=237500.0000730356 quote_volume_24h=629577420.9434956 range_atr_ratio=5.77800824276792
2026-03-29 10:39:57,917 | filter | FILTER BTCUSDT | adx=16.82062324551707 apt=True atr_pct=0.09471673962866212 last_price=66654.18 liquidity_quote_sum=237499.99991664838 quote_volume_24h=620387451.0273297 range_atr_ratio=5.6663217629278275
2026-03-29 10:39:57,920 | filter | FILTER BTCUSDT | adx=15.84161316086584 apt=True atr_pct=0.09443925431908501 last_price=66633.51 liquidity_quote_sum=237500.00059817702 quote_volume_24h=621647598.529772 range_atr_ratio=5.009201760722845
2026-03-29 10:39:57,923 | filter | FILTER BTCUSDT | adx=15.051055368744114 apt=True atr_pct=0.09196172487599938 last_price=66667.99 liquidity_quote_sum=237499.9996147472 quote_volume_24h=621065654.9603534 range_atr_ratio=5.141493541452646
2026-03-29 10:39:57,930 | filter | FILTER BTCUSDT | adx=14.555323077761143 apt=True atr_pct=0.08700908308859237 last_price=66680.02 liquidity_quote_sum=237500.0003901316 quote_volume_24h=619041978.7886053 range_atr_ratio=5.433171967067383
